mode,robots,seed,delivered,collisions,deadlocked,distance,closest_gap,biggest_jump
STOP_AND_WAIT,3,1,14,0,1,366.0,1.0,0.125
STOP_AND_WAIT,3,2,27,0,1,745.0,1.0,0.125
STOP_AND_WAIT,3,3,45,0,1,1271.0,1.0,0.125
STOP_AND_WAIT,3,4,18,0,1,543.0,1.0,0.125
STOP_AND_WAIT,3,5,24,0,2,627.0,1.0,0.125
FLEETX,3,1,83,0,0,1787.0,1.0,0.125
FLEETX,3,2,85,0,0,2326.0,1.0,0.125
FLEETX,3,3,84,0,0,2117.0,1.0,0.125
FLEETX,3,4,79,0,0,2142.0,1.0,0.125
FLEETX,3,5,78,0,0,2159.0,1.0,0.125
STOP_AND_WAIT,5,1,44,0,1,1172.0,1.0,0.125
STOP_AND_WAIT,5,2,30,0,1,858.0,1.0,0.125
STOP_AND_WAIT,5,3,18,0,2,569.0,1.0,0.125
STOP_AND_WAIT,5,4,16,0,3,544.0,1.0,0.125
STOP_AND_WAIT,5,5,55,0,0,1457.0,1.0,0.125
FLEETX,5,1,99,0,0,1764.0,1.0,0.125
FLEETX,5,2,98,0,0,2091.0,1.0,0.125
FLEETX,5,3,98,0,0,1925.0,1.0,0.125
FLEETX,5,4,99,0,0,2049.0,1.0,0.125
FLEETX,5,5,98,0,0,2003.0,1.0,0.125
STOP_AND_WAIT,10,1,40,0,4,1030.0,1.0,0.125
STOP_AND_WAIT,10,2,34,0,4,996.0,1.0,0.125
STOP_AND_WAIT,10,3,27,0,1,750.0,1.0,0.125
STOP_AND_WAIT,10,4,54,0,2,1513.0,1.0,0.125
STOP_AND_WAIT,10,5,36,0,5,931.0,1.0,0.125
FLEETX,10,1,100,0,0,1488.0,1.0,0.125
FLEETX,10,2,97,0,0,1852.0,1.0,0.125
FLEETX,10,3,98,0,0,1660.0,1.0,0.125
FLEETX,10,4,99,0,0,1856.0,1.0,0.125
FLEETX,10,5,98,0,0,1774.0,1.0,0.125
STOP_AND_WAIT,15,1,40,0,5,1101.0,1.0,0.125
STOP_AND_WAIT,15,2,30,0,4,1094.0,1.0,0.125
STOP_AND_WAIT,15,3,32,0,6,1063.0,1.0,0.125
STOP_AND_WAIT,15,4,15,0,6,717.0,1.0,0.125
STOP_AND_WAIT,15,5,30,0,5,1104.0,1.0,0.125
FLEETX,15,1,100,0,0,1532.0,1.0,0.125
FLEETX,15,2,98,0,0,1822.0,1.0,0.125
FLEETX,15,3,98,0,0,1668.0,1.0,0.125
FLEETX,15,4,99,0,0,1774.0,1.0,0.125
FLEETX,15,5,98,0,0,1769.0,1.0,0.125
STOP_AND_WAIT,20,1,11,0,8,650.0,1.0,0.125
STOP_AND_WAIT,20,2,15,0,7,882.0,1.0,0.125
STOP_AND_WAIT,20,3,21,0,6,1038.0,1.0,0.125
STOP_AND_WAIT,20,4,16,0,10,1055.0,1.0,0.125
STOP_AND_WAIT,20,5,21,0,5,1066.0,1.0,0.125
FLEETX,20,1,100,0,0,1411.0,1.0,0.125
FLEETX,20,2,98,0,0,1729.0,1.0,0.125
FLEETX,20,3,97,0,0,1657.0,1.0,0.125
FLEETX,20,4,99,0,0,1760.0,1.0,0.125
FLEETX,20,5,98,0,0,1855.0,1.0,0.125
