mode,robots,seed,delivered,collisions,deadlocked,distance,closest_gap,biggest_jump
STOP_AND_WAIT,3,1,44,0,2,994.0,1.0,0.125
STOP_AND_WAIT,3,2,26,0,0,874.0,1.0,0.125
STOP_AND_WAIT,3,3,10,0,2,262.0,1.0,0.125
STOP_AND_WAIT,3,4,31,0,0,928.0,1.0,0.125
STOP_AND_WAIT,3,5,1,0,1,106.0,1.0,0.125
FLEETX,3,1,98,0,0,2334.0,1.0,0.125
FLEETX,3,2,96,0,0,2581.0,1.0,0.125
FLEETX,3,3,99,0,0,2506.0,1.0,0.125
FLEETX,3,4,96,0,0,2607.0,1.0,0.125
FLEETX,3,5,94,0,0,2382.0,1.0,0.125
STOP_AND_WAIT,5,1,41,0,0,1130.0,1.0,0.125
STOP_AND_WAIT,5,2,15,0,2,612.0,1.0,0.125
STOP_AND_WAIT,5,3,6,0,3,265.0,1.0,0.125
STOP_AND_WAIT,5,4,24,0,1,759.0,1.0,0.125
STOP_AND_WAIT,5,5,2,0,3,242.0,1.0,0.125
FLEETX,5,1,98,0,0,2084.0,1.0,0.125
FLEETX,5,2,96,0,0,2397.0,1.0,0.125
FLEETX,5,3,98,0,0,2164.0,1.0,0.125
FLEETX,5,4,98,0,0,2120.0,1.0,0.125
FLEETX,5,5,99,0,0,2035.0,1.0,0.125
STOP_AND_WAIT,10,1,12,0,4,500.0,1.0,0.125
STOP_AND_WAIT,10,2,12,0,1,751.0,1.0,0.125
STOP_AND_WAIT,10,3,9,0,4,618.0,1.0,0.125
STOP_AND_WAIT,10,4,25,0,4,807.0,1.0,0.125
STOP_AND_WAIT,10,5,11,0,5,449.0,1.0,0.125
FLEETX,10,1,97,0,0,2034.0,1.0,0.125
FLEETX,10,2,98,0,0,2103.0,1.0,0.125
FLEETX,10,3,97,0,0,2098.0,1.0,0.125
FLEETX,10,4,97,0,0,2020.0,1.0,0.125
FLEETX,10,5,99,0,0,1973.0,1.0,0.125
STOP_AND_WAIT,15,1,10,0,5,805.0,1.0,0.125
STOP_AND_WAIT,15,2,9,0,4,648.0,1.0,0.125
STOP_AND_WAIT,15,3,7,0,4,783.0,1.0,0.125
STOP_AND_WAIT,15,4,27,0,3,1225.0,1.0,0.125
STOP_AND_WAIT,15,5,10,0,5,826.0,1.0,0.125
FLEETX,15,1,96,0,0,2044.0,1.0,0.125
FLEETX,15,2,96,0,1,2085.0,1.0,0.125
FLEETX,15,3,98,0,0,2245.0,1.0,0.125
FLEETX,15,4,98,0,0,2168.0,1.0,0.125
FLEETX,15,5,98,0,0,1989.0,1.0,0.125
STOP_AND_WAIT,20,1,18,0,7,1064.0,1.0,0.125
STOP_AND_WAIT,20,2,11,0,5,766.0,1.0,0.125
STOP_AND_WAIT,20,3,8,0,10,603.0,1.0,0.125
STOP_AND_WAIT,20,4,12,0,6,845.0,1.0,0.125
STOP_AND_WAIT,20,5,15,0,8,761.0,1.0,0.125
FLEETX,20,1,95,0,1,2618.0,1.0,0.125
FLEETX,20,2,97,0,1,2437.0,1.0,0.125
FLEETX,20,3,96,0,0,2588.0,1.0,0.125
FLEETX,20,4,95,0,0,2502.0,1.0,0.125
FLEETX,20,5,95,0,0,2409.0,1.0,0.125
